id,locale,source_url,local_route,priority,page_type,replica_requirement,status,notes
TCN-005,zh-Hant,https://www.zh.xiangqi.com/tcn/rating/,/tcn/rating/,P1,help-detail,"复刻繁中等级分系统",confirmed,"搜索结果已确认"
TCN-006,zh-Hant,https://www.zh.xiangqi.com/tcn/mobile/,/tcn/download/,P1,download,"复刻繁中下载页和真实下载入口",to-verify,"需完整抓取确认"
TCN-007,zh-Hant,https://www.zh.xiangqi.com/tcn/how-to-play/,/tcn/how-to-play/,P1,tutorial,"复刻繁中规则教程",to-verify,"需完整抓取确认"
EN-001,en,https://www.xiangqi.com/,/en/,P0,home,"按简中同标准复刻英语首页、SEO、文章、FAQ、移动端",confirmed,"不是语言跳转页"
EN-002,en,https://www.xiangqi.com/help,/en/help/,P0,help-index,"复刻英语帮助首页、分组、搜索入口、页脚链接",confirmed,"帮助菜单暴露完整子项"
EN-003,en,https://www.xiangqi.com/help/menu,/en/help/menu/,P0,help-index,"复刻英语帮助菜单页",confirmed,"可用于补齐帮助子页面"
EN-004,en,https://www.xiangqi.com/support-home,/en/support-home/,P1,help-index,"复刻英语帮助搜索页",confirmed,"搜索结果已确认"
EN-005,en,https://www.xiangqi.com/how-to-play-xiangqi,/en/how-to-play-xiangqi/,P0,tutorial,"复刻英语长文教程、目录、锚点、图文",confirmed,"搜索结果已确认"
EN-006,en,https://www.xiangqi.com/help/board-and-set-up,/en/help/board-and-set-up/,P1,help-detail,"复刻英语棋盘摆放教程",confirmed,"搜索结果已确认"
EN-007,en,https://www.xiangqi.com/help/markers,/en/help/markers/,P1,help-detail,"复刻英语棋盘标记教程",confirmed,"搜索结果已确认"
EN-008,en,https://www.xiangqi.com/help/tournament,/en/help/tournament/,P1,help-detail,"复刻英语比赛教程",confirmed,"搜索结果已确认"
EN-009,en,https://www.xiangqi.com/help/handicap-mode,/en/help/handicap-mode/,P1,help-detail,"复刻英语让子/自定义局面教程",confirmed,"搜索结果已确认"
EN-010,en,https://www.xiangqi.com/xiangqi-puzzle,/en/xiangqi-puzzle/,P1,landing-or-help,"复刻英语残局/谜题页面",confirmed,"搜索结果已确认"
EN-011,en,https://www.xiangqi.com/articles/what-is-xiangqi-aka-chinese-chess,/en/articles/what-is-xiangqi-aka-chinese-chess/,P1,article-detail,"复刻英语教学文章详情",confirmed,"搜索结果已确认"
EN-012,en,https://www.xiangqi.com/help/rating,/en/help/rating/,P1,help-detail,"复刻英语等级分说明",to-verify,"英语帮助菜单包含 Understand Xiangqi Ratings"
EN-013,en,https://www.xiangqi.com/help/fair-play,/en/help/fair-play/,P1,policy,"复刻英语公平竞赛政策",to-verify,"帮助菜单含 Fair Play Policy，slug需确认"
EN-014,en,https://www.xiangqi.com/help/politeness-code,/en/help/politeness-code/,P1,policy,"复刻英语文明政策",to-verify,"帮助菜单含 Politeness Code，slug需确认"
VI-001,vi,https://www.vn.xiangqi.com/,/vi/,P0,home,"按简中同标准复刻越南语首页、SEO、文章、FAQ、移动端",confirmed,"搜索结果显示越南语首页结构与简中不同，需按对应源站复刻"
VI-002,vi,https://www.vn.xiangqi.com/how-to-play,/vi/how-to-play/,P0,tutorial,"复刻越南语教程长文、目录、锚点、图文",confirmed,"搜索结果已确认"
VI-003,vi,https://www.vn.xiangqi.com/mobile,/vi/download/,P0,download,"复刻越南语下载页和真实下载入口",confirmed,"搜索结果已确认"
VI-004,vi,https://www.vn.xiangqi.com/cau-hoi-thuong-gap,/vi/cau-hoi-thuong-gap/,P0,faq,"复刻越南语FAQ展开/收起交互与内链",confirmed,"搜索结果已确认"
VI-005,vi,https://www.vn.xiangqi.com/help/rating,/vi/help/rating/,P1,help-detail,"复刻越南语等级分帮助",confirmed,"搜索结果已确认"
VI-006,vi,https://www.vn.xiangqi.com/articles/luat-choi-co-tuong,/vi/articles/luat-choi-co-tuong/,P1,article-detail,"复刻越南语规则文章",confirmed,"搜索结果已确认"
VI-007,vi,https://www.vn.xiangqi.com/articles/cach-di-chuyen-co-tuong,/vi/articles/cach-di-chuyen-co-tuong/,P1,article-detail,"复刻越南语棋子走法文章",confirmed,"搜索结果已确认"
VI-008,vi,https://www.vn.xiangqi.com/articles/cac-quan-co-trong-co-tuong,/vi/articles/cac-quan-co-trong-co-tuong/,P1,article-detail,"复刻越南语棋子介绍文章",confirmed,"搜索结果已确认"
VI-009,vi,https://www.vn.xiangqi.com/articles/elo-co-tuong,/vi/articles/elo-co-tuong/,P1,article-detail,"复刻越南语Elo文章",confirmed,"搜索结果已确认"
VI-010,vi,https://www.vn.xiangqi.com/articles/cach-xep-co-tuong,/vi/articles/cach-xep-co-tuong/,P1,article-detail,"复刻越南语摆棋文章",confirmed,"搜索结果已确认"
VI-011,vi,https://www.vn.xiangqi.com/articles/nguon-goc-co-tuong,/vi/articles/nguon-goc-co-tuong/,P1,article-detail,"复刻越南语起源文章",confirmed,"搜索结果已确认"
